source,year,simpname,nationality,edu,prof,org,loc,lon,lat
imm,1909,"barnett, w j",,,engineer,great cobar north ltd,house e c,-77.3803011,35.5787948
imm,1909,"barnett, w j",,,engineer,of canada ltd,house e c,-77.3803011,35.5787948
imm,1909,"barrillon, l i",,,engineer,ober rosbach mining ltd,rue breroontier paris,2.3039841,48.8846825
imm,1909,"barry, h p",,,engineer,waihi gold mining ltd,waihi new zealand,175.8406072,-37.3912594
imm,1909,"barton, a e",,,engineer,carnforth hematite iron ltd,e carnforth lanes,-2.768112,54.127363
imm,1909,"bawden, w k",,,engineer,threlkeld mines ltd,w kenswick,-95.296827,30.00357
imm,1909,"bayldon, h c",,,engineer,orsk goldfields ltd,kotchkar orenburg russia,55.1004538,51.7666482
imm,1909,"bayliss, e j",,,engineer,n m s synd ltd,conquista cordova spain,-4.4902774,38.4097283
imm,1909,"bayliss, k t",,,engineer,montana mining ltd,t cornhill london,-0.0864941,51.5133671
imm,1909,"bayliss, k t",,,engineer,tomboy gold mines ltd,t cornhill london,-0.0864941,51.5133671
imm,1909,"bayne, t b",,,engineer,tanganyika concessions ltd,bulawayo rhodesia,28.626479,-20.1325066
imm,1909,"bayne, t b",,,engineer,zambesia exploring ltd,bulawayo rhodesia,28.626479,-20.1325066
imm,1909,"beal, r b",,,engineer,broken hill proprietary ltd,n s w,146.921099,-31.2532183
imm,1909,"beasley, j k",,,engineer,broomassie mines ltd,gold coast colony,-119.2286617,34.1682522
imm,1909,"tedlineton, w b",,,engineer,coal fields of w a ltd,wellington w a,-121.1272683,47.7473729
imm,1909,"healey, s n",,,engineer,delagoa bay development ltd ltd,street s w,-77.0180807,38.8776593
imm,1909,"lehr, h c",,,engineer,gold fields of south africa ltd,j johannesburg,28.0473051,-26.2041028
imm,1909,"ekenn, a r",,,engineer,dundee coal ltd,h talana natal,30.8958242,-28.5305539
imm,1909,"general, h c",,,engineer,great cobar north ltd,new south wales,146.921099,-31.2532183
imm,1909,"sllows, w w",,,engineer,n b utah bingham mining ltd,u s a,-95.712891,37.09024
imm,1909,"mnett, t e",,,engineer,hingston and chtters mines ltd,e gnnnislak cornwall,-4.2135524,50.5243156
imm,1909,"mnetis, c o",,,engineer,condurrow mines ltd,united mines camborne,-5.2749716,50.2034446
imm,1909,"moons, w j",,,engineer,johannesburg consolidated investment ltd,j johannesburg,28.0473051,-26.2041028
imm,1909,"insusan, a p",,,engineer,preto gold mines of brazil ltd,passagem minasgeraes brazil,-45.133333,-19.75
imm,1909,"ntley, g d",,,engineer,agua dios gold minescolombia ltd,hampstead n w,-0.1761749,51.5556461
imm,1909,"ntley, g d",,,engineer,nueva esperanza gold mines ltd,hampstead n w,-0.1761749,51.5556461
imm,1909,"ntley, s d",,,engineer,indian manganese ltd,fresno tolima colombia,-75.03631,5.153793
imm,1909,"ntley, s d",,,engineer,nueva esperanza gold mines ltd,fresno tolima colombia,-75.03631,5.153793
imm,1909,"ryman, i j",,,engineer,foncage syndicate ltd,j naneldres cornwall,-5.0527125,50.2660471
imm,1909,"binet, e p",,,engineer,taitapn gold estates ltd,krugersdorp transvaal,27.8076959,-26.0963217
imm,1909,"binet, e p",,,engineer,waterfall estate and gold mines ltd,krugersdorp transvaal,27.8076959,-26.0963217
imm,1909,"bishop, w b",,,engineer,great bonanza gold mining ltd,pavement house london,-0.1401544,51.4621578
imm,1909,"blakemore, h t",,,engineer,gamnes copper ltd,within e c,,
imm,1909,"blake, m g",,,engineer,great cobar north ltd,s w australia,116.0413889,-34.0556829
imm,1909,"blake, m g",,,engineer,namaqua copper ltd,s w australia,116.0413889,-34.0556829
imm,1909,"blane, j b",,,engineer,new goch gold mines ltd,james johannesburg,28.062837,-26.13973
imm,1909,"andre, p p",,,engineer,victoria falls and transvaal power ltd,victoria falls power,25.8572003,-17.9242993
imm,1909,"bloxsome, o l",,,engineer,lake view south ltd,boulder western australia,121.493226,-30.7768517
imm,1909,"north, u m",,,engineer,west canadian deep leads ltd,barkerville british columbia,-121.5137657,53.0703513
imm,1909,"boright, s h",,,engineer,great eastern collieries ltd,bott springs transvaal,,
imm,1909,"bottoms, g t",,,engineer,taquah mining and exploration ltd,taquah west africa,-2.4604145,13.531665
imm,1909,"bower, t h",,,engineer,julia copper mining synd ltd,westminster s w,-77.0182639,38.8790151
imm,1909,"bowles, g g",,,engineer,klein letaba copper m ines ltd,klein letaba copper m ines,30.6270574,-23.3173171
imm,1909,"bowman, f c",,,engineer,bowmfraonn tenac mining ltd,u s a,-95.712891,37.09024
imm,1909,"john, b s",,,engineer,cardiff district collieries ltd,bryncethin s wales,-3.564131,51.5477892
imm,1909,"brackenbury, k h",,,engineer,anglo swis asbestos ltd,carolina district transvaal,30.1069594,-26.0730802
imm,1909,"bradford, w b",,,engineer,langlaagte estate and gold mining ltd,fordsburg transvaal,28.0230001,-26.2070612
imm,1909,"bradley, f w",,,engineer,alaska united gold mining ltd,san francisco california,-122.4194155,37.7749295
imm,1909,"bradley, f w",,,engineer,alaska united gold mining ltd,san francisco california,-122.4194155,37.7749295
imm,1909,"bradley, f w",,,engineer,alaska united gold mining ltd,san francisco california,-122.4194155,37.7749295
imm,1909,"branoker, r c",,,engineer,and knowles coal and iron ltd,crown street liverpool,-2.9579323,53.4005294
imm,1909,"john, q s",,,engineer,queen margaret gold mining ltd,queen street melbourne,144.9596861,-37.8126461
imm,1909,"brash, r f",,,engineer,lahat mines ltd,lahat malay states,101.0385158,4.540876
imm,1909,"brelioq, h l",,,engineer,brembnoerar x properties ltd,pountney hill london,-0.0888444,51.5109073
imm,1909,"brett, a c",,,engineer,treasury gold mines ltd,a cleavland transvaal,-81.6943605,41.49932
imm,1909,"brett, t i",,,engineer,prestea block a ltd,sekondi west africa,-1.7830973,4.9015794
imm,1909,"broad, r w",,,engineer,abbontiakoon mines ltd,broad street london,-0.0844759,51.5180672
imm,1909,"broad, r w",,,engineer,prestea block a ltd,broad street london,-0.0837472,51.5170312
imm,1909,"brochon, e r",,,engineer,francia gold and silver ltd,de trevise paris,2.3453323,48.8740484
imm,1909,"brodigan, c b",,,engineer,brakpan mines ltd,brakpan transvaal,28.3724782,-26.2442064
