position,role2
with f. w. woolworth company.,other
with u. s. internal revenue office.,government
adminis,management
administ,management
advertising buyer,management
audit,management
boss,management
business agent,management
cash register,management
chief accountant,management
chief adjuster,management
chief of party,management
coal operator smiley,management
commercial,management
consulting,management
cost accountant,management
district agent,management
entrepreneur,management
executive trustee,management
executor of estate,management
general agent,management
general secretary phi delta theta fraternity.,management
goods buyer,management
hardware buyer,management
insp,management
investment banker,management
investments,management
kaufman,management
leader,management
man ager,management
managing eng’r,management
managing trustee,management
pres.,management
principal ely school of mines,management
sales director,management
sales expert,management
sec.,management
sec. and treas.,management
to cashier,management
town accountant,management
treas.,management
vi cashier,management
vice-pres.,management
vice-pres. and treas.,management
adjutant,technical
aeronautical,technical
apparatus buyer,technical
assessor,technical
assistant.,technical
assistant. chief of oxide dept.,technical
assistant. chief sampler,technical
assistant. eng’r,technical
assistant. mining eng’r,technical
automotive depts,technical
chainman,technical
chamberlain,technical
chemical,technical
chemical eng’r,technical
chief eng’r,technical
chief eng’r of r.r.,technical
chief estimator,technical
chief statistician,technical
civil,technical
conducteur,technical
construction and irrigation eng’r,technical
contracting eng’r,technical
division commercial eng’r,technical
division eng’r,technical
draughtsman,technical
driver,technical
druggist,technical
efficiency eng’r,technical
el. met.,technical
el.met.,technical
electric,technical
eng. ne: r,technical
eng’r,technical
experiment,technical
factor,technical
factory,technical
field assistant,technical
first assistant.,technical
general sales eng’r,technical
geodesic,technical
geolog,technical
hut master,technical
hut prober,technical
hut raiter,technical
i surveyor,technical
in testing laboratory,technical
ingeni,technical
investment counselor,technical
investment statistician,technical
iron foundry,technical
iv estimator,technical
laboratory,technical
laboratory assistant.,technical
master in,technical
master mechanic,technical
master of,technical
mechanic arts,technical
mechanical,technical
mechanicus,technical
mineral surveyor,technical
mining ehg’r,technical
mining eng’r,technical
mining officer,technical
polytechnic,technical
purchasing agent,technical
research,technical
research assistant,technical
research fellow,technical
research investigator,technical
research physicist,technical
researcher,technical
resident agent,technical
resident eng’r,technical
sales agent,technical
sales dept.,technical
state geognost,technical
treating dept.,technical
white mech. eng.,technical
academ,other
advocat,other
banquier,other
buyer gen,other
college park,other
commercial photographer,other
courier,other
credit investigator,other
dairy farmer,other
dancing master,other
dental medicine,other
farm and stock raising.,other
farmer.,other
farming boyer,other
head farmer,other
head master,other
i journalist,other
iii photographer,other
instructor in biology,other
instructor in mathematics,other
instructor in physics,other
interior decorator,other
iv artist,other
journalism,other
law,other
law department,other
lawyer 60,other
lecturer on,other
medical,other
medicine,other
ministry,other
mountain master,other
music,other
physician 502,other
physician and,other
physician in,other
poultry farmer,other
practicing physician,other
princi pal,other
principal goldfield school of mines,other
prof,other
teaching fellow,other
traveling fellow,other
v farmer,other
vi farmer,other
xiii lawyer,other
artillery captain,government
artillery general,government
b major,government
capt.,government
city magistrate,government
city schools,government
commander,government
commmissar,government
council,government
first lieutenant coast artillery,government
govern,government
iv major,government
judge of,government
judge probate court of phelps county,government
juror,government
land commissioner,government
land department,government
militair,government
military,government
mountain bill auditor,government
mountain commander,government
mountain commissioner,government
municipal gov service,government
office commissioner of the port,government
top sergeant us. infantry greenridge,government
teaching,other
technic,technical
technical,technical
school officer,other
fibre expert,technical
metallurg,technical
mine operator.,technical
mine operator. van devander,technical
mining ehgr,technical
